"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","5","59","17","180","0.27","20","2","0.75","0.11","3","33","3.1","41","false","3","20","375","5","100","10","100"
"1","2470","47","5","355","0.44","1","13","0.74","0.18","7.7","34","0.2","18","false","4","370","110","5","80","10","49.4"
"1","8745","23","0","420","0.19","1","12","0.67","0.17","5.9","35","6.2","36","true","3","30","265","5","77","10","93.4"
"1","9780","95","16","165","0.26","1","14","0.67","0.14","5.9","44","6.2","36","true","1","280","310","5","55.2","10","100"
"1","9975","95","16","165","0.19","1","14","0.67","0.14","5.9","44","6.2","36","true","1","350","75","5","49.8","10","90"
"2","5","44","11","140","0.67","10","17","0.79","0.03","4.7","5","2.1","7","false","4","90","80","5","100","10","100"
"3","5","66","8","185","0.91","36","0","0.89","0.07","7.9","20","2.7","28","true","1","40","95","5","100","10","100"
"3","3460","72","13","410","0.26","1","20","0.1","0.07","2.3","54","3.3000000000000003","31","false","1","200","300","5","80","10","90"
"3","4635","72","13","415","0.26","1","11","0.05","0.14","3.1","52","1","13","true","2","270","160","5","62.8","10","90"
"3","4815","72","13","415","0.26","1","20","0.05","0.15","7.4","13","2.9000000000000004","5","true","4","40","470","5","60","10","93.8"
"3","6575","63","6","240","0.97","1","13","0.06","0.15","7.5","17","5","8","false","1","230","490","5","53","10","90.9"
"3","8950","65","13","225","0.89","1","18","0.66","0.16","9.9","29","3.7","24","false","5","170","330","5","35.4","10","87"
"3","10655","71","17","220","0.56","1","19","0.9400000000000001","0.03","7.300000000000001","8","0.6000000000000001","12","false","4","210","330","5","20","10","90"
"4","5","48","14","110","0.26","96","7","0.79","0.12","4","59","5.4","40","true","3","100","10","5","100","10","100"
"4","1900","37","3","330","0.45","1","10","0.85","0.03","2.7","49","1.3","44","true","5","140","340","5","80","10","91.3"
"4","3765","37","4","385","0.52","1","10","0.66","0.1","6.4","50","1.8","10","true","5","20","385","5","70.4","10","90"
"4","4545","30","4","330","0.26","1","15","0.49","0.05","8.3","49","2.1","10","true","5","360","370","5","60.6","10","90"
"4","4650","98","3","385","0.26","1","15","0.77","0.04","8.8","49","2.1","10","true","5","360","385","5","60","10","98.2"
"4","5470","98","3","385","0.52","1","10","0.86","0.14","7.6000000000000005","41","5.4","10","true","1","130","40","5","59.4","10","100"
"4","6205","98","0","410","0.26","1","15","0.65","0.11","8.8","48","5.1000000000000005","13","true","1","130","370","5","53.4","10","90.3"
"4","7220","97","3","365","0.81","1","19","0.55","0.1","7.4","48","4.2","34","true","5","360","350","5","49.2","10","80.7"
"4","7270","7","12","180","0.16","1","19","0.74","0.1","8.600000000000001","49","3.7","13","false","1","360","330","5","40","10","79"
"5","5","44","11","25","0.76","82","19","0.24","0.13","8.3","14","0.4","43","true","4","340","470","5","100","10","100"
"5","330","58","8","5","0.8200000000000001","1","16","0.74","0.18","7.4","5","5.4","32","false","5","270","270","5","88.2","10","98"
"5","770","55","8","5","0.8200000000000001","1","16","0.74","0.01","2.2","5","4.1000000000000005","32","false","4","270","270","5","80","10","80"
"5","995","65","8","5","0.86","1","16","0.5","0.18","7.4","21","5.4","31","false","4","250","170","5","78.6","10","47.6"
"5","1105","79","15","5","0.8200000000000001","1","16","0.5","0.18","7.4","21","5.4","31","false","3","220","170","5","55.2","10","90.7"
"5","1185","58","8","10","0.8200000000000001","1","19","0.5","0.18","7.4","21","0.9","31","false","3","220","170","5","51.6","10","80"
"5","2490","76","17","130","0.8200000000000001","1","19","0.8200000000000001","0.18","8.9","26","4.2","5","false","3","340","265","5","44.6","10","77.9"
"5","2880","55","11","470","0.68","1","19","0.75","0.18","7.4","22","6.2","24","true","3","50","165","5","38.6","10","90"
"5","4485","94","17","490","0.8200000000000001","1","19","0.77","0.17","8.3","26","4","31","false","2","20","420","5","36.2","10","78.6"
"5","5175","90","15","470","0.8200000000000001","1","19","0.8200000000000001","0.15","7","58","5.6000000000000005","30","false","2","40","490","5","35.8","10","83.7"
"5","5535","29","15","405","0.56","1","19","0.35000000000000003","0.13","8.2","45","4","42","true","1","50","40","5","28.2","10","100"
"5","8240","99","16","25","0.07","1","19","0.93","0.18","7.5","30","5.4","34","true","1","40","130","5","9.4","10","81.1"
"6","5","67","4","280","0.34","19","4","0.8300000000000001","0.04","5.2","10","0.6000000000000001","13","true","3","80","350","5","100","10","100"
"6","5135","34","0","260","0.98","1","13","0.78","0.14","7.5","39","4","26","false","5","40","115","5","90.2","10","94.3"
"6","5485","48","8","400","1","1","13","0.78","0.14","7.2","39","4","26","false","3","70","165","5","80","10","100"
"6","5820","89","15","400","0.26","1","17","0.02","0.17","6.7","16","3.7","26","true","5","210","90","5","72.2","10","89.7"
"6","6190","89","15","400","0.26","1","17","0.9","0.17","6.7","16","3.6","26","true","5","210","215","5","60.4","10","80.6"
"6","6635","89","10","400","0.26","1","17","0.9","0.17","6.7","19","3.6","26","true","5","210","215","5","60","10","48.4"
"6","6915","44","15","400","0.26","1","19","0.9","0.17","6.7","15","5.800000000000001","19","true","5","100","215","5","56.2","10","72.6"
"6","7830","37","10","400","0.26","1","19","0.45","0.1","8","11","6","11","true","4","100","215","5","40","10","80.7"
"6","7910","87","15","400","0.26","1","19","0.49","0.17","8","55","5.800000000000001","19","true","4","380","485","5","34.6","10","90.6"
"6","8855","88","15","475","0.26","1","19","0.49","0.18","8.3","55","5.9","19","true","4","60","215","5","5","10","83"
"7","5","78","10","85","0.86","75","19","0.37","0.16","7.9","20","5.2","21","true","4","240","235","5","100","10","100"
"7","880","15","3","135","0.51","1","8","0.9500000000000001","0.12","5.5","6","4.9","16","false","5","120","250","5","70.6","10","100"
"7","11370","63","10","485","0.56","1","19","0.58","0.17","4","24","5.300000000000001","7","true","4","130","25","5","70.2","10","97"
"8","5","80","13","355","0.55","69","13","0.49","0.07","6.2","42","5.2","44","false","4","100","90","5","100","10","100"
"8","145","21","3","40","0.38","1","10","0.29","0.02","1","32","0.5","10","false","3","330","115","5","80","10","100"
"8","3070","24","8","275","0.51","1","20","0.9","0.18","9.9","32","2.4000000000000004","18","false","3","160","230","5","70.4","10","93.4"
"8","3405","40","14","375","0.3","1","16","0.66","0.18","9.9","32","5.9","10","false","1","160","145","5","58.8","10","90"
"8","4430","62","19","55","0.31","1","20","0.77","0.15","7.4","7","2","15","false","1","200","155","5","56.2","10","70"
"8","4565","95","14","55","0.41000000000000003","1","20","0.93","0.16","8.100000000000001","32","5.300000000000001","5","true","1","40","240","5","26.6","10","62.8"
"8","4990","17","14","55","0.41000000000000003","1","20","0.9400000000000001","0.16","4.6","60","5.300000000000001","11","false","1","280","145","5","24.8","10","90"
"9","5","44","19","100","0.48","96","7","0.51","0.02","2.9000000000000004","4","2.3000000000000003","26","true","5","180","340","5","100","10","100"
"9","700","51","12","455","0.92","1","19","0.1","0","4.9","55","5.7","7","true","3","380","215","5","80","10","74.5"
"9","1255","51","3","455","0.36","1","19","0.02","0.15","4.6","36","0.8","44","true","3","180","135","5","60","10","70"
"9","2645","53","8","345","0.92","1","17","0.97","0.05","3.7","26","1.8","44","true","2","210","110","5","59","10","70"
"9","3940","79","7","290","0.92","1","17","0.6","0.14","4.7","37","5.300000000000001","34","true","5","110","180","5","52.2","10","74.5"
"9","4495","79","4","345","0.99","1","19","0.34","0.17","8.7","37","5.800000000000001","13","true","1","190","175","5","42.6","10","77.5"
"9","4790","77","6","375","0.91","1","16","0.62","0.17","7.1000000000000005","26","1.8","13","true","3","50","495","5","38","10","97.9"
"9","6880","68","20","290","0.92","1","17","0.61","0.17","7.6000000000000005","25","5.1000000000000005","26","true","3","310","345","5","35.4","10","85.5"
"10","5","88","15","420","0.17","48","20","0.9400000000000001","0.04","5.2","33","2","20","false","3","160","445","5","100","10","100"
"10","3165","94","16","130","0.41000000000000003","1","17","0.1","0.01","9.8","17","5.2","23","true","2","120","145","5","80","10","84.3"
"10","3235","97","16","130","0.41000000000000003","1","17","0.1","0","9.8","17","5.2","23","true","2","120","145","5","69","10","100"
"10","3335","94","15","130","0.41000000000000003","1","17","0.1","0.01","9.8","17","5.2","23","true","2","120","115","5","63","10","78.5"
"10","3475","94","16","0","0.54","1","15","0.11","0.01","9.8","17","5.2","8","true","2","120","145","5","60","10","100"
"10","3800","94","17","0","0.54","1","15","0.13","0","9.8","22","5.5","23","true","2","120","140","5","40","10","85.7"
"10","4455","63","8","100","0.41000000000000003","1","17","0.13","0.17","9.700000000000001","17","5.2","40","true","1","30","145","5","30.6","10","81.1"
