"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12015","95","16","165","0.19","1","14","0.67","0.14","5.9","44","6.2","36","true","1","350","75","5","49.8","10","90"
"2","12215","44","11","140","0.67","10","17","0.79","0.03","4.7","5","2.1","7","false","4","90","80","5","100","10","100"
"3","12020","71","17","220","0.56","1","19","0.9400000000000001","0.03","7.300000000000001","8","0.6000000000000001","12","false","4","210","330","5","20","10","90"
"4","12205","7","12","180","0.16","1","19","0.74","0.1","8.600000000000001","49","3.7","13","false","1","360","330","5","40","10","79"
"5","12205","99","16","25","0.07","1","19","0.93","0.18","7.5","30","5.4","34","true","1","40","130","5","9.4","10","81.1"
"6","12005","88","15","475","0.26","1","19","0.49","0.18","8.3","55","5.9","19","true","4","60","215","5","5","10","83"
"7","12055","63","10","485","0.56","1","19","0.58","0.17","4","24","5.300000000000001","7","true","4","130","25","5","70.2","10","97"
"8","12020","17","14","55","0.41000000000000003","1","20","0.9400000000000001","0.16","4.6","60","5.300000000000001","11","false","1","280","145","5","24.8","10","90"
"9","12055","68","20","290","0.92","1","17","0.61","0.17","7.6000000000000005","25","5.1000000000000005","26","true","3","310","345","5","35.4","10","85.5"
"10","12155","63","8","100","0.41000000000000003","1","17","0.13","0.17","9.700000000000001","17","5.2","40","true","1","30","145","5","30.6","10","81.1"
