"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12015","47","5","355","0.44","1","13","0.74","0.18","7.7","34","0.2","18","false","4","370","110","5","80","10","49.4"
"2","12215","44","11","140","0.67","10","17","0.79","0.03","4.7","5","2.1","7","false","4","90","80","5","100","10","100"
"3","12020","65","13","225","0.89","1","18","0.66","0.16","9.9","29","3.7","24","false","5","170","330","5","35.4","10","87"
"4","12205","7","12","180","0.16","1","19","0.74","0.1","8.600000000000001","49","3.7","13","false","1","360","330","5","40","10","79"
"5","12205","65","8","5","0.86","1","16","0.5","0.18","7.4","21","5.4","31","false","4","250","170","5","78.6","10","47.6"
"6","12005","89","10","400","0.26","1","17","0.9","0.17","6.7","19","3.6","26","true","5","210","215","5","60","10","48.4"
"7","12055","63","10","485","0.56","1","19","0.58","0.17","4","24","5.300000000000001","7","true","4","130","25","5","70.2","10","97"
"8","12020","95","14","55","0.41000000000000003","1","20","0.93","0.16","8.100000000000001","32","5.300000000000001","5","true","1","40","240","5","26.6","10","62.8"
"9","12055","51","3","455","0.36","1","19","0.02","0.15","4.6","36","0.8","44","true","3","180","135","5","60","10","70"
"10","12155","94","15","130","0.41000000000000003","1","17","0.1","0.01","9.8","17","5.2","23","true","2","120","115","5","63","10","78.5"
