"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","59","17","180","0.27","20","2","0.75","0.11","3","33","3.1","41","false","3","20","375","10","769.0646037882574","10","746.5838156856526"
"1","30","22","8","250","0.27","46","10","0.29","0.1","9.5","24","3.5","15","true","1","20","150","10","758.1899922450326","10","678.5231413462448"
"1","40","27","12","45","0.42","19","10","0.63","0.19","3.1","58","2.9000000000000004","42","false","4","340","335","10","735.4700553480735","10","794.3970824706543"
"1","60","35","19","355","0.04","11","2","0.04","0.15","4.4","41","3.8000000000000003","1","true","4","220","275","10","671.6598271448478","10","800.0157956948851"
"1","1070","35","19","355","0.04","11","15","0.29","0.1","5.1000000000000005","24","3.5","15","true","1","250","135","10","668.1688490215512","10","757.0471110209235"
"1","1260","76","11","105","0.6","2","4","0.17","0.02","2.3","33","2.9000000000000004","0","false","1","110","250","10","663.0369040779872","10","749.1955226976668"
"1","2750","79","4","325","0.8200000000000001","44","7","0.1","0.17","10","49","4.2","43","true","2","340","335","10","662.4922902492718","10","678.0898813884716"
"1","2890","46","19","355","0.07","43","2","0","0.14","4.300000000000001","57","5.7","13","true","4","220","180","10","656.6784110553576","10","720.4589124399087"
"1","3580","40","6","325","0.8200000000000001","69","4","0.04","0.14","1","42","3.4000000000000004","17","true","4","200","250","10","641.9216018174009","10","746.2440342912614"
"1","4440","88","2","465","0.86","44","11","0.04","0.15","3.1","7","3.4000000000000004","6","false","1","370","455","10","614.1940257136915","10","816.6205489821455"
"1","6300","10","2","230","0.07","62","10","0.17","0.15","2.1","49","5.2","8","false","4","200","470","10","607.1359451253495","10","595.0220385736982"
"2","10","44","11","140","0.67","10","17","0.79","0.03","4.7","5","2.1","7","false","4","90","80","10","703.8376122777429","10","781.7657755453976"
"2","40","1","13","300","0.45","39","6","0.34","0.11","5.3","44","2.4000000000000004","19","true","1","220","230","10","681.2971645835117","10","766.1596271133844"
"2","140","27","2","325","0.11","33","11","0.47000000000000003","0.01","7.7","0","0.1","7","false","3","340","460","10","626.5280492753269","10","764.6449250303217"
"2","3320","19","9","255","0.06","1","16","0.78","0.1","7","20","1","37","false","4","140","265","10","611.5865213416403","10","783.4040218256998"
"2","6080","21","2","180","0.14","48","3","0.9400000000000001","0.09","7.7","54","0.4","32","true","2","300","120","10","609.2151328045164","10","708.9949078489896"
"3","10","66","8","185","0.91","36","0","0.89","0.07","7.9","20","2.7","28","true","1","40","95","10","765.274680047446","10","748.8795741110956"
"3","20","14","14","345","0.34","34","11","0.76","0.01","4.2","13","4.6000000000000005","10","false","3","280","295","10","755.0792232456913","10","813.3858566437628"
"3","30","26","7","15","0.86","47","8","0.44","0.02","3.1","15","0.1","3","true","3","310","90","10","747.1228900336193","10","750.6202906731796"
"3","40","1","19","450","0.9","77","18","0.6900000000000001","0.15","8.8","53","2","1","true","3","210","115","10","723.896069515361","10","853.2937910404987"
"3","130","90","8","60","0.5700000000000001","22","17","0.91","0.15","7.5","0","5.7","41","true","2","350","300","10","686.1747400235834","10","794.1607967129358"
"3","300","43","19","265","0.46","10","3","0","0.15","6.2","54","1.8","39","true","5","200","350","10","673.7477786660004","10","668.3338873326161"
"3","550","5","11","90","0.52","89","6","0.04","0.06","7.4","41","6.1000000000000005","20","false","3","200","185","10","658.8811466608051","10","824.0158306990039"
"3","910","90","8","60","0.5700000000000001","22","17","0.91","0.15","7.5","0","6.2","40","true","2","350","300","10","658.0956202811277","10","654.7606620255036"
"3","1150","89","13","410","0.26","89","6","0.04","0.06","2","41","6.1000000000000005","8","false","1","200","300","10","638.615214270679","10","707.8667743953868"
"3","4240","7","2","110","0.09","34","15","0.63","0.19","1","45","3.9000000000000004","14","true","4","50","90","10","623.2948257166595","10","735.6895235150403"
"3","5950","95","0","55","0.23","34","4","0.6900000000000001","0.16","1.7000000000000002","29","0.6000000000000001","27","true","2","320","70","10","611.5485401169663","10","664.6564894720144"
"4","10","48","14","110","0.26","96","7","0.79","0.12","4","59","5.4","40","true","3","100","10","10","683.2612401902522","10","715.2886170949297"
"4","70","59","10","110","0.29","31","20","0.87","0.17","5.9","26","0.1","14","false","4","140","20","10","646.4162247533952","10","728.8222854760903"
"4","620","33","9","265","0.86","92","0","0.75","0.1","1.4","7","1.7000000000000002","41","false","5","20","150","10","640.7527695419922","10","751.2529531829983"
"4","2130","76","19","50","0.76","81","0","0.21","0.13","7.5","20","5.7","11","true","4","180","360","10","633.8427009778267","10","704.3032828171026"
"4","2430","72","19","50","0.99","23","15","0.73","0.11","2","12","5.9","13","true","3","340","385","10","632.4686640560282","10","700.1227016489659"
