"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12180","10","2","230","0.07","62","10","0.17","0.15","2.1","49","5.2","8","false","4","200","470","10","607.1359451253495","10","595.0220385736982"
"2","12270","21","2","180","0.14","48","3","0.9400000000000001","0.09","7.7","54","0.4","32","true","2","300","120","10","609.2151328045164","10","708.9949078489896"
"3","12160","95","0","55","0.23","34","4","0.6900000000000001","0.16","1.7000000000000002","29","0.6000000000000001","27","true","2","320","70","10","611.5485401169663","10","664.6564894720144"
"4","12200","23","6","10","0.75","81","0","0.21","0.13","7.5","20","5.800000000000001","20","true","4","180","360","10","619.5566833987489","10","750.6663726460363"
"5","12250","15","14","225","0.3","47","11","0.56","0.04","9.1","51","4.9","2","false","1","230","35","10","589.7726895502905","10","836.2428927384608"
"6","12180","96","0","490","0.41000000000000003","44","19","0.84","0.1","5.4","35","6.5","38","false","5","180","415","10","572.9","10","741.0811710566879"
"7","12120","20","16","180","0.54","81","17","0.32","0.13","5.2","54","5.1000000000000005","39","true","5","30","95","10","605.7138236984514","10","705.172580787992"
"8","12210","97","11","160","0.46","99","0","0.37","0.16","8.600000000000001","9","0.7000000000000001","3","false","1","210","305","10","624.7375418788952","10","867.9500624031531"
"9","12370","68","13","0","0.37","29","5","0.97","0.18","4.9","44","6.300000000000001","2","false","3","0","110","10","621.4243601591036","10","751.7835496338841"
"10","12210","30","7","130","0.9","70","8","0.9","0.1","3.1","41","1.6","38","false","3","360","285","10","602.1114573223693","10","742.731751631031"
