"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12180","10","2","230","0.07","62","10","0.17","0.15","2.1","49","5.2","8","false","4","200","470","10","607.1359451253495","10","595.0220385736982"
"2","12270","21","2","180","0.14","48","3","0.9400000000000001","0.09","7.7","54","0.4","32","true","2","300","120","10","609.2151328045164","10","708.9949078489896"
"3","12160","90","8","60","0.5700000000000001","22","17","0.91","0.15","7.5","0","6.2","40","true","2","350","300","10","658.0956202811277","10","654.7606620255036"
"4","12200","72","19","50","0.99","23","15","0.73","0.11","2","12","5.9","13","true","3","340","385","10","632.4686640560282","10","700.1227016489659"
"5","12250","37","15","245","0.37","48","20","0.4","0.15","5.4","13","1.5","38","true","4","380","220","10","707.5046580734795","10","711.3272920432418"
"6","12180","67","4","280","0.34","19","4","0.8300000000000001","0.04","5.2","10","0.6000000000000001","13","true","3","80","350","10","772.1731265523911","10","620.0158915263321"
"7","12120","19","14","245","0.76","5","2","0.87","0.15","6.9","31","4.4","36","true","1","270","200","10","644.8049802355222","10","667.6393803903253"
"8","12210","89","14","15","0.84","76","15","0.27","0.06","9.6","43","3.9000000000000004","9","false","1","210","145","10","628.0763419132909","10","687.0803372057944"
"9","12370","82","11","205","0.67","31","19","0.65","0.11","4.9","25","4.7","22","true","5","240","85","10","726.9031911719017","10","650.9235532889863"
"10","12210","29","8","145","0.84","88","2","0.3","0.12","4","41","2.8000000000000003","1","false","1","110","90","10","616.4728478886798","10","668.9491878499872"
