"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","59","17","180","0.27","20","2","0.75","0.11","3","33","3.1","41","false","3","20","375","769.0646037882574","10","769.0646037882574","746.5838156856526"
"1","20","17","19","120","0.52","73","4","0.09","0.1","1.1","20","1.9000000000000001","22","false","1","0","440","770.3432016948324","10","769.0646037882574","746.5838156856526"
"1","30","22","8","250","0.27","46","10","0.29","0.1","9.5","24","3.5","15","true","1","20","150","758.1899922450326","10","758.1899922450326","678.5231413462448"
"1","40","27","12","45","0.42","19","10","0.63","0.19","3.1","58","2.9000000000000004","42","false","4","340","335","735.4700553480735","10","735.4700553480735","794.3970824706543"
"1","50","30","11","480","0.28","57","7","0.66","0.15","5.7","20","6","43","true","4","350","170","793.3490834680816","10","735.4700553480735","794.3970824706543"
"1","60","35","19","355","0.04","11","2","0.04","0.15","4.4","41","3.8000000000000003","1","true","4","220","275","671.6598271448478","10","671.6598271448478","800.0157956948851"
"1","70","79","11","150","0.04","19","4","0.07","0.17","8.3","25","0.1","13","false","5","160","415","730.7301994594746","10","671.6598271448478","800.0157956948851"
"1","80","74","11","30","0.72","90","19","0.44","0.12","2.7","22","6.2","9","false","1","360","170","806.1108476991045","10","671.6598271448478","800.0157956948851"
"1","90","66","15","465","0.39","40","9","0.17","0.02","6.4","55","0","0","false","1","210","370","756.9499860042811","10","671.6598271448478","800.0157956948851"
"1","100","25","0","240","0.92","44","7","0.56","0.17","1","49","5.9","19","false","3","400","215","724.781871468807","10","671.6598271448478","800.0157956948851"
"1","110","91","13","225","0.45","94","14","0.06","0.15","2.8","8","3.1","23","true","1","120","175","772.3967371609326","10","671.6598271448478","800.0157956948851"
"1","120","74","17","40","0.02","45","17","0.18","0.17","6.300000000000001","29","5.5","35","true","3","340","470","757.6765289272379","10","671.6598271448478","800.0157956948851"
"1","130","70","12","440","0.08","29","17","0.79","0.04","6.4","59","2.1","3","true","1","120","155","805.5169797458262","10","671.6598271448478","800.0157956948851"
"1","140","38","17","35","0.29","85","4","0.79","0","1.3","17","0.30000000000000004","10","false","4","270","240","744.4099816462156","10","671.6598271448478","800.0157956948851"
"1","150","90","12","225","0.72","78","19","0.07","0.08","8.2","0","5.6000000000000005","28","true","5","120","55","778.1199751071929","10","671.6598271448478","800.0157956948851"
"1","160","44","6","340","0.43","14","0","0.03","0","9.200000000000001","52","6.300000000000001","44","true","3","360","135","791.4268439270943","10","671.6598271448478","800.0157956948851"
"1","170","94","6","470","0.36","86","7","0.56","0.12","8.3","59","5.5","4","true","5","90","65","884.4583938666107","10","671.6598271448478","800.0157956948851"
"1","180","25","4","305","0.91","13","12","0.01","0.14","7.2","38","6.2","14","true","4","140","165","705.4789556050592","10","671.6598271448478","800.0157956948851"
"1","190","1","10","445","0.8200000000000001","91","10","0.8300000000000001","0.09","6.7","30","2.9000000000000004","35","false","1","70","280","788.4073480071471","10","671.6598271448478","800.0157956948851"
"1","200","5","0","425","0.76","65","12","0.9","0.03","3.6","37","2.5","16","true","1","330","40","762.2694454484108","10","671.6598271448478","800.0157956948851"
"1","210","72","20","0","0.8","84","13","0.9500000000000001","0.1","10","49","6.300000000000001","8","false","2","80","320","820.481566726404","10","671.6598271448478","800.0157956948851"
"1","220","90","10","430","0.36","30","15","0.65","0.05","2.5","34","4.3","3","true","4","280","250","776.2602772247876","10","671.6598271448478","800.0157956948851"
"1","230","67","10","485","0.37","58","10","0.8200000000000001","0.16","1.5","56","0.7000000000000001","9","false","4","150","450","780.7018433763172","10","671.6598271448478","800.0157956948851"
"1","240","69","19","225","0.47000000000000003","87","16","0.33","0.03","9.700000000000001","30","0.6000000000000001","12","false","2","40","75","700.2782579053174","10","671.6598271448478","800.0157956948851"
"1","250","18","20","240","0.04","80","11","0.11","0.14","7.2","48","4.3","3","true","3","240","10","750.3930949097045","10","671.6598271448478","800.0157956948851"
"1","260","59","17","260","0.6900000000000001","47","19","0.23","0.05","7.5","53","4.9","45","true","3","140","150","752.5993385053328","10","671.6598271448478","800.0157956948851"
"1","270","99","0","0","0.43","15","10","0.71","0.17","1.8","45","3.4000000000000004","42","false","5","350","315","752.8315114418901","10","671.6598271448478","800.0157956948851"
"1","280","47","15","450","0.56","81","16","0.99","0.07","8.100000000000001","17","3","38","false","2","390","335","760.5208763918542","10","671.6598271448478","800.0157956948851"
"1","290","65","2","400","0.18","77","4","0.32","0.14","8","47","6.2","37","false","3","270","70","790.3226081359435","10","671.6598271448478","800.0157956948851"
"1","300","26","6","265","0.6","51","3","0.97","0.09","9","48","1","39","true","2","390","15","749.417819745762","10","671.6598271448478","800.0157956948851"
"1","310","69","6","330","0.8200000000000001","81","19","0.54","0.07","6.7","12","1","8","false","2","200","25","740.7949216209615","10","671.6598271448478","800.0157956948851"
"1","320","83","13","300","0.28","97","12","0.64","0","6.800000000000001","56","3.9000000000000004","37","false","1","240","35","773.1385668695455","10","671.6598271448478","800.0157956948851"
"1","330","71","9","255","0.9400000000000001","82","5","0.38","0.08","2.8","12","2.4000000000000004","13","true","1","240","400","751.2499060325044","10","671.6598271448478","800.0157956948851"
"1","340","40","11","105","0.6","79","11","0.19","0.08","3.7","6","6.300000000000001","9","false","3","240","155","740.8584351161824","10","671.6598271448478","800.0157956948851"
