"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","3","75","0.76","100","0","0.66","0.13","3.6","44","0.9","42","true","3","390","105","10","733.5500809077677","10","674.9778016371256"
"2","12050","20","11","215","0.28","100","4","0.09","0.17","8.600000000000001","22","4.3","5","false","4","210","45","10","742.7882528868511","10","659.1326159210419"
"3","12040","20","11","145","0.98","100","8","0.86","0.12","8","0","6.5","8","true","4","320","350","10","681.8905760068953","10","670.1515217915435"
"4","12050","20","17","330","0.6","100","17","0.02","0.03","6.5","4","1.3","28","false","1","10","315","10","673.3019684336449","10","656.8169527717021"
"5","12140","20","17","290","0.15","100","15","0.35000000000000003","0.19","7.1000000000000005","51","3.8000000000000003","7","true","3","160","55","10","675.284289683258","10","701.3991651375915"
"6","12380","20","12","75","0.07","100","15","0.17","0","9.4","58","1.2000000000000002","21","true","3","20","270","10","609.5160172628973","10","691.8298232732299"
"7","12120","20","9","395","0.63","100","7","0.33","0.07","2.5","5","3.3000000000000003","18","false","4","240","25","10","636.0158779169562","10","702.0457083001571"
"8","12060","20","19","30","0.62","100","17","0.9","0.05","1","0","0.8","8","true","4","70","10","10","619.9612970583557","10","666.1341564335924"
"9","12210","20","8","210","0.34","100","19","0.22","0.09","2.7","3","1.2000000000000002","23","true","1","90","195","10","679.8101579803555","10","668.9440932495869"
"10","12070","20","6","90","0.64","100","14","0.45","0.1","9.1","41","4.1000000000000005","28","false","3","360","300","10","665.8021820869054","10","706.990126967987"
