"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","20","10","470","0.36","20","11","0.19","0.03","8.5","11","2","33","false","2","370","200","10","788.4067762920245","10","754.8157896494619"
"1","20","20","10","365","0.16","20","19","0.24","0.19","8.2","55","0.9","31","false","3","200","440","10","753.5915131040332","10","708.3023129969531"
"1","40","20","3","75","0.76","20","0","0.66","0.13","3.6","44","0.9","42","true","3","390","105","10","733.5500809077677","10","674.9778016371256"
"1","60","20","2","465","0.47000000000000003","20","20","0.6","0.18","10","11","3.5","32","true","4","70","30","10","729.292495761899","10","746.6149628873014"
"1","70","20","10","330","0.04","20","15","0.34","0.09","4.800000000000001","1","4.800000000000001","3","true","1","140","145","10","641.9615715867743","10","792.5173654902034"
"1","1190","20","13","305","0.41000000000000003","20","19","0.8300000000000001","0.11","5.800000000000001","2","5","45","false","3","180","450","10","607.825710436751","10","806.4695044491464"
"2","10","20","11","215","0.28","20","4","0.09","0.17","8.600000000000001","22","4.3","5","false","4","210","45","10","742.7882528868511","10","659.1326159210419"
"2","30","20","2","205","0.71","20","8","0.28","0.07","8.600000000000001","26","5.9","20","true","3","30","500","10","706.8613628982812","10","749.7301710252731"
"2","230","20","2","55","0.11","20","1","0.36","0.12","2.4000000000000004","40","1.5","34","false","2","300","225","10","665.8237868749344","10","772.9276570591097"
"2","250","20","19","390","0.17","20","20","0.9500000000000001","0.19","4.4","9","1.1","6","false","4","140","315","10","663.5540836639934","10","703.5082185178777"
"2","340","20","13","105","0.75","20","2","0.79","0.06","1.3","0","6","6","true","5","230","405","10","646.4206217922936","10","745.1579377997327"
"2","420","20","2","185","0.67","20","11","0.73","0.17","8.9","25","2.5","1","false","4","350","15","10","637.1326748849176","10","711.6109522509332"
"2","1640","20","19","50","0.26","20","17","0.79","0.14","5.9","23","5.6000000000000005","0","false","5","210","25","10","636.7616446540374","10","782.5761973902064"
"2","2950","20","10","65","0.37","20","13","1","0.02","7.4","23","6.2","6","true","1","230","385","10","634.5728162725195","10","778.4983340259536"
"2","10160","20","17","150","0.27","20","17","0.54","0.06","5.9","16","6.4","36","true","5","150","285","10","623.2824510900242","10","736.3606884361958"
"2","10730","20","19","120","0.75","20","13","0.01","0.05","2","23","1.7000000000000002","23","false","5","150","165","10","590.4888686007947","10","745.7430678142564"
"3","10","20","1","40","0.37","20","11","0.35000000000000003","0","9.9","56","5.6000000000000005","20","false","5","40","435","10","766.0443019454681","10","760.6520786557481"
"3","30","20","1","30","0.28","20","8","0.25","0.07","1.3","22","5","40","true","1","210","405","10","752.2246244941947","10","776.5003011272186"
"3","40","20","3","235","0.42","20","14","0.9500000000000001","0.16","1","41","2.6","26","true","3","50","405","10","707.7321061669647","10","774.620390634428"
"3","100","20","11","145","0.98","20","8","0.86","0.12","8","0","6.5","8","true","4","320","350","10","681.8905760068953","10","670.1515217915435"
"3","240","20","8","50","0.9500000000000001","20","8","0.41000000000000003","0.02","3.8000000000000003","32","1","22","false","3","390","475","10","674.2880256555197","10","779.7988012383637"
"3","780","20","14","370","0.93","20","17","0.08","0","6","33","4.800000000000001","13","true","1","390","370","10","670.4963401395387","10","749.5856939667087"
"3","1060","20","8","350","0.9500000000000001","20","18","0.75","0.05","8.2","2","6.300000000000001","31","true","3","70","290","10","623.1251664537629","10","758.1816557814848"
"3","3420","20","8","310","0.37","20","17","0.05","0.19","6","33","4.9","41","true","3","310","190","10","619.2077047487192","10","713.3066460040178"
"3","11100","20","15","185","0.22","20","4","0.56","0.15","3.4000000000000004","29","0.5","2","true","4","240","10","10","616.0009156529488","10","802.1486312858843"
"4","10","20","15","230","0.22","20","12","0.9500000000000001","0.07","8.600000000000001","27","3","33","false","1","160","470","10","746.5811160250465","10","766.925983767579"
