"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","13","305","0.41000000000000003","80","19","0.8300000000000001","0.11","5.800000000000001","2","5","45","false","3","180","450","10","607.825710436751","10","806.4695044491464"
"2","12070","20","19","170","0.56","80","2","0.67","0.1","4.4","23","0","34","false","3","160","200","10","623.8771353486738","10","795.7785995793399"
"3","12040","20","15","185","0.22","80","4","0.56","0.15","3.4000000000000004","29","0.5","2","true","4","240","10","10","616.0009156529488","10","802.1486312858843"
"4","12040","20","8","165","0.79","80","15","0.05","0.06","7.4","54","5.6000000000000005","35","false","4","210","25","10","613.3861821484072","10","723.6899789739721"
"5","12150","20","10","470","0.78","80","10","0.2","0.19","2.7","9","4.9","28","false","4","240","135","10","598.9511338993146","10","782.0774595308254"
"6","12040","20","19","180","0.42","80","1","0.56","0.02","1.8","33","3.8000000000000003","35","false","1","380","215","10","581.2975498665938","10","736.4290949507014"
"7","12120","20","9","105","0.53","80","13","0.37","0.19","8.100000000000001","55","0.7000000000000001","35","false","4","330","25","10","621.065220757705","10","760.054873646745"
"8","12110","20","8","310","0.79","80","6","0.24","0.08","5.4","50","6.4","20","true","1","370","400","10","594.5383557115629","10","798.1539962520789"
"9","12210","20","15","415","0.59","80","6","0.17","0.02","5.9","44","2.9000000000000004","21","true","4","70","340","10","607.3491542014497","10","811.1112268225891"
"10","12040","20","9","370","0.24","80","5","0.01","0.03","1.6","41","1.7000000000000002","15","true","1","260","240","10","610.6888813432635","10","800.1334700608164"
