"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far"
"1","500","3","8","405","0.9400000000000001","69","14","0.5","0.17","9.6","23","3.9000000000000004","3","true","2","160","205","10","693.5700330577749"
"2","500","78","6","330","0.56","13","4","0","0.15","9.4","50","3","38","true","5","0","150","10","663.309012863612"
"3","500","20","4","285","0.42","100","17","0.22","0.15","7.1000000000000005","15","3.7","43","true","3","230","80","10","654.0949433717054"
"4","500","14","6","95","0.91","19","7","0.9400000000000001","0.05","6.800000000000001","13","5.9","5","false","4","250","260","10","640.0116732210803"
"5","500","65","19","55","0.79","30","14","0.64","0.1","8.7","8","2.7","10","false","1","310","365","10","676.251938978223"
"6","500","86","1","325","0.77","98","17","0.72","0.18","1.5","30","2.2","16","true","4","390","480","10","643.6946921723045"
"7","500","15","2","175","0.2","78","17","0.22","0.01","6.9","0","0.7000000000000001","13","true","4","240","475","10","640.6016922403498"
"8","500","47","6","495","0.7000000000000001","14","6","0.76","0.08","8.9","8","4.2","36","false","1","70","230","10","645.4943867264541"
"9","500","30","1","45","0.65","68","15","0.02","0.19","3","53","4.9","37","true","2","30","255","10","668.3774938206268"
"10","500","41","8","480","0","95","6","0.44","0.17","2","55","1.5","41","true","3","380","345","10","657.4056966786009"
