"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"1","10","13","0","335","0.34","26","2","0.9400000000000001","0.08","8","28","6.1000000000000005","26","true","1","350","370","790.3433020085006","10","790.3433020085006"
"1","20","8","19","325","0.19","54","17","0.15","0.13","4.4","38","0.5","23","true","3","90","100","786.9401547307149","10","786.9401547307149"
"1","30","21","12","485","0.79","21","3","0.79","0.19","8.2","26","2.6","1","true","5","70","490","742.5520169488238","10","742.5520169488238"
"1","40","90","11","185","0.22","5","2","0.36","0.1","2.2","20","1.9000000000000001","29","true","1","250","45","730.4849948839121","10","730.4849948839121"
"1","50","70","20","315","0.84","67","8","0.86","0.18","4.2","59","3.6","26","true","3","340","465","720.2221907867964","10","720.2221907867964"
"1","60","56","13","70","0.18","80","13","0.24","0.02","2.8","37","3.9000000000000004","8","false","3","140","215","714.2768143893775","10","714.2768143893775"
"1","70","72","8","450","0.79","70","1","0.86","0.16","8.8","48","5.4","36","false","1","100","270","802.3271760049566","10","714.2768143893775"
"1","80","57","18","265","0.73","23","13","0.87","0.07","3.1","3","0.30000000000000004","3","false","1","120","375","734.6911242409976","10","714.2768143893775"
"1","90","47","6","380","0.18","58","18","0.56","0.02","6.7","2","4.2","32","true","3","70","275","762.9888287439474","10","714.2768143893775"
"1","100","33","16","270","0.73","37","0","0.97","0.17","6.2","34","3.5","6","true","3","50","140","739.3042265583841","10","714.2768143893775"
"1","110","66","15","260","0.01","4","9","0.8200000000000001","0.05","5.7","28","1.5","12","true","3","300","245","795.7823645090695","10","714.2768143893775"
"1","120","35","2","445","0.76","19","15","0.24","0.03","9.4","0","0","43","false","3","70","415","765.570212879875","10","714.2768143893775"
"1","130","40","2","115","0.11","30","6","0.63","0.12","3.8000000000000003","36","1.6","5","false","4","110","475","786.7902912027087","10","714.2768143893775"
"1","140","56","13","315","0.44","64","20","0.79","0","7.6000000000000005","3","6.300000000000001","19","true","3","60","385","708.2256269204383","10","708.2256269204383"
"1","150","65","17","300","0.52","83","4","0.37","0.03","3.2","8","1.9000000000000001","24","false","2","280","305","763.2818673484499","10","708.2256269204383"
"1","160","51","12","385","0.35000000000000003","62","19","0.76","0.07","7.4","21","1.8","5","true","5","210","170","752.32580833508","10","708.2256269204383"
"1","170","39","3","135","0.48","90","5","0.68","0.18","5.2","33","1.7000000000000002","38","true","1","0","500","737.6891761923414","10","708.2256269204383"
"1","180","85","15","300","0.46","20","11","0.73","0.02","9.9","6","5.5","41","true","5","330","450","759.8370188145293","10","708.2256269204383"
"1","190","83","4","205","0.97","90","0","0.54","0.1","6.1000000000000005","6","4.6000000000000005","45","false","4","370","390","747.6690428750856","10","708.2256269204383"
"1","200","6","1","495","0.44","4","12","0.21","0.05","5","11","5.9","18","false","2","240","25","717.7172816286662","10","708.2256269204383"
"1","210","80","7","210","1","91","15","0.81","0.11","7","13","2.2","14","true","2","200","500","752.7380620513902","10","708.2256269204383"
"1","220","10","7","310","0.8200000000000001","30","7","0.8","0.02","9.9","17","4.6000000000000005","5","false","3","370","25","800.6542065402234","10","708.2256269204383"
"1","230","62","0","375","0.61","51","9","0.92","0.07","1.3","27","4.4","18","false","3","370","330","819.4395801447365","10","708.2256269204383"
"1","240","92","2","45","0.3","44","11","0.18","0.08","3.9000000000000004","9","4.800000000000001","36","true","3","310","350","723.5588224872048","10","708.2256269204383"
"1","250","25","13","95","0.61","75","17","0.8200000000000001","0.1","8.4","60","3.4000000000000004","38","true","3","210","175","814.3892728126228","10","708.2256269204383"
"1","260","11","17","280","0.87","25","13","0.52","0.06","4.4","4","0.5","33","false","3","30","330","807.6893116539582","10","708.2256269204383"
"1","270","73","10","260","0.01","85","10","0.6","0.09","2.7","2","5.6000000000000005","12","false","3","180","215","693.5796382497307","10","693.5796382497307"
"1","280","70","2","380","0.32","33","15","0.23","0.03","7.7","10","4.6000000000000005","2","false","3","110","355","830.3577293001593","10","693.5796382497307"
"1","290","15","18","20","0.9400000000000001","39","17","0.72","0.08","5.7","24","3.2","42","true","3","310","95","750.1360842787485","10","693.5796382497307"
"1","300","10","0","305","0.22","19","16","0.18","0.1","3.3000000000000003","20","5.1000000000000005","44","true","3","170","350","710.8995684975459","10","693.5796382497307"
"1","310","1","17","25","0.45","36","1","0.03","0.1","9.700000000000001","41","2.1","23","true","3","260","435","709.7884734408433","10","693.5796382497307"
"1","320","41","10","350","0.27","98","16","0.6","0.05","2.1","8","0.4","18","true","2","70","490","761.9348029839468","10","693.5796382497307"
"1","330","37","1","140","0.9","83","1","0.8200000000000001","0.15","1.2","56","4.9","32","true","1","20","320","784.3087382155034","10","693.5796382497307"
"1","340","56","2","125","0.8200000000000001","2","17","0.31","0.15","8.100000000000001","32","3.6","9","false","4","250","100","758.0139605625169","10","693.5796382497307"
"1","350","22","14","145","0","19","13","0.17","0","3.5","26","2.3000000000000003","35","true","3","90","85","749.65567017593","10","693.5796382497307"
"1","360","62","10","95","0.53","77","11","0.9400000000000001","0.17","2.2","46","1.3","13","false","5","300","455","710.4495978367387","10","693.5796382497307"
"1","370","90","8","145","0.35000000000000003","47","0","0.67","0.11","5.3","27","1.1","40","false","1","340","300","709.372662100254","10","693.5796382497307"
"1","380","67","18","325","0.22","30","16","0.65","0.08","4.4","51","0.9","36","false","3","320","270","777.2654308301205","10","693.5796382497307"
"1","390","29","12","300","0.37","48","8","0.52","0.17","3.7","1","5.2","3","false","3","350","175","747.1413290040347","10","693.5796382497307"
