"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12170","59","17","180","0.27","20","2","0.75","0.11","3","33","3.1","41","false","3","20","375","10","99","10","99"
"2","12290","44","11","140","0.67","10","17","0.79","0.03","4.7","5","2.1","7","false","4","90","80","10","99","10","99"
"3","12230","53","2","205","0.51","1","17","0.11","0.12","2.4000000000000004","25","3.2","18","true","1","90","25","10","76.9","10","79.2"
"4","12200","49","17","55","0.29","1","17","0.56","0.1","4.9","11","0.9","28","true","4","360","285","10","67.8","10","78.6"
"5","12300","44","11","25","0.76","82","19","0.24","0.13","8.3","14","0.4","43","true","4","340","470","10","99","10","99"
"6","12180","26","13","20","0.03","1","8","1","0.14","3.9000000000000004","17","4.6000000000000005","6","true","4","290","180","10","97.9","10","89.1"
"7","12200","77","8","495","0.98","1","16","0.5","0.19","8.2","19","6","38","true","3","50","495","10","50.6","10","63.2"
"8","12300","51","2","150","0.68","1","15","0.35000000000000003","0.18","8.9","42","5.1000000000000005","8","false","5","200","465","10","65.4","10","69"
"9","12260","78","12","335","0.8300000000000001","1","19","0.21","0.08","1.7000000000000002","53","6.1000000000000005","43","true","3","260","195","10","59.4","10","69.3"
"10","12210","65","4","400","0.14","1","17","0.78","0.13","5.2","29","2.3000000000000003","42","true","1","270","185","10","82.8","10","69.3"
