"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","59","17","180","0.27","20","2","0.75","0.11","3","33","3.1","41","false","3","20","375","99","10","99","99"
"1","20","17","19","120","0.52","73","4","0.09","0.1","1.1","20","1.9000000000000001","22","false","1","0","440","99","10","99","99"
"1","30","22","8","250","0.27","46","10","0.29","0.1","9.5","24","3.5","15","true","1","20","150","99","10","99","99"
"1","40","27","12","45","0.42","19","10","0.63","0.19","3.1","58","2.9000000000000004","42","false","4","340","335","99","10","99","99"
"1","50","30","11","480","0.28","57","7","0.66","0.15","5.7","20","6","43","true","4","350","170","99","10","99","99"
"1","60","35","19","355","0.04","11","2","0.04","0.15","4.4","41","3.8000000000000003","1","true","4","220","275","99","10","99","99"
"1","70","79","11","150","0.04","19","4","0.07","0.17","8.3","25","0.1","13","false","5","160","415","99","10","99","99"
"1","80","74","11","30","0.72","90","19","0.44","0.12","2.7","22","6.2","9","false","1","360","170","99","10","99","99"
"1","90","66","15","465","0.39","40","9","0.17","0.02","6.4","55","0","0","false","1","210","370","99","10","99","99"
"1","100","25","0","240","0.92","44","7","0.56","0.17","1","49","5.9","19","false","3","400","215","99","10","99","99"
"1","110","91","13","225","0.45","94","14","0.06","0.15","2.8","8","3.1","23","true","1","120","175","99","10","99","99"
"1","120","74","17","40","0.02","45","17","0.18","0.17","6.300000000000001","29","5.5","35","true","3","340","470","99","10","99","99"
"1","130","70","12","440","0.08","29","17","0.79","0.04","6.4","59","2.1","3","true","1","120","155","99","10","99","99"
"1","140","38","17","35","0.29","85","4","0.79","0","1.3","17","0.30000000000000004","10","false","4","270","240","99","10","99","99"
"1","150","90","12","225","0.72","78","19","0.07","0.08","8.2","0","5.6000000000000005","28","true","5","120","55","99","10","99","99"
"1","160","44","6","340","0.43","14","0","0.03","0","9.200000000000001","52","6.300000000000001","44","true","3","360","135","99","10","99","99"
"1","170","94","6","470","0.36","86","7","0.56","0.12","8.3","59","5.5","4","true","5","90","65","99","10","99","99"
"1","180","25","4","305","0.91","13","12","0.01","0.14","7.2","38","6.2","14","true","4","140","165","99","10","99","99"
"1","190","1","10","445","0.8200000000000001","91","10","0.8300000000000001","0.09","6.7","30","2.9000000000000004","35","false","1","70","280","99","10","99","99"
"1","200","5","0","425","0.76","65","12","0.9","0.03","3.6","37","2.5","16","true","1","330","40","99","10","99","99"
"1","210","72","20","0","0.8","84","13","0.9500000000000001","0.1","10","49","6.300000000000001","8","false","2","80","320","99","10","99","99"
"1","220","90","10","430","0.36","30","15","0.65","0.05","2.5","34","4.3","3","true","4","280","250","99","10","99","99"
"1","230","67","10","485","0.37","58","10","0.8200000000000001","0.16","1.5","56","0.7000000000000001","9","false","4","150","450","99","10","99","99"
"1","240","69","19","225","0.47000000000000003","87","16","0.33","0.03","9.700000000000001","30","0.6000000000000001","12","false","2","40","75","99","10","99","99"
"1","250","18","20","240","0.04","80","11","0.11","0.14","7.2","48","4.3","3","true","3","240","10","99","10","99","99"
"1","260","59","17","260","0.6900000000000001","47","19","0.23","0.05","7.5","53","4.9","45","true","3","140","150","99","10","99","99"
"1","270","99","0","0","0.43","15","10","0.71","0.17","1.8","45","3.4000000000000004","42","false","5","350","315","99","10","99","99"
"1","280","47","15","450","0.56","81","16","0.99","0.07","8.100000000000001","17","3","38","false","2","390","335","99","10","99","99"
"1","290","65","2","400","0.18","77","4","0.32","0.14","8","47","6.2","37","false","3","270","70","99","10","99","99"
"1","300","26","6","265","0.6","51","3","0.97","0.09","9","48","1","39","true","2","390","15","99","10","99","99"
"1","310","69","6","330","0.8200000000000001","81","19","0.54","0.07","6.7","12","1","8","false","2","200","25","99","10","99","99"
"1","320","83","13","300","0.28","97","12","0.64","0","6.800000000000001","56","3.9000000000000004","37","false","1","240","35","99","10","99","99"
"1","330","71","9","255","0.9400000000000001","82","5","0.38","0.08","2.8","12","2.4000000000000004","13","true","1","240","400","99","10","99","99"
"1","340","40","11","105","0.6","79","11","0.19","0.08","3.7","6","6.300000000000001","9","false","3","240","155","99","10","99","99"
"1","350","80","2","75","0.74","52","9","0.59","0.16","6","45","0.1","30","false","1","370","70","99","10","99","99"
"1","360","68","10","185","0.84","56","15","0.9400000000000001","0.09","4.2","12","0.7000000000000001","39","true","3","140","55","99","10","99","99"
"1","370","60","4","55","0.04","13","10","0.89","0.01","1.6","46","0.4","18","false","1","370","25","99","10","99","99"
"1","380","34","7","260","0.1","41","15","0.22","0.15","2.5","33","6.300000000000001","33","true","3","90","105","99","10","99","99"
