"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far"
"1","10","13","0","335","0.34","26","2","0.9400000000000001","0.08","8","28","6.1000000000000005","26","true","1","350","370","10","99"
"1","340","56","2","125","0.8200000000000001","2","17","0.31","0.15","8.100000000000001","32","3.6","9","false","4","250","100","10","95.1"
"2","10","65","19","410","0.23","33","19","0.96","0.11","4.300000000000001","23","3.3000000000000003","40","true","2","120","295","10","99"
"3","10","1","11","465","0.5700000000000001","70","10","0.87","0.14","4.2","11","1.1","9","true","3","140","385","10","99"
"4","10","77","20","335","0.72","35","8","0.17","0.15","8.100000000000001","53","2.1","8","false","4","340","180","10","99"
"5","10","51","14","25","0.67","57","13","0.12","0.17","9.700000000000001","40","2.4000000000000004","4","true","2","290","145","10","99"
"6","10","100","11","335","0.59","84","15","0.62","0.02","4.300000000000001","60","3.8000000000000003","18","false","3","20","460","10","99"
"6","190","92","15","355","0.19","1","14","0.74","0.08","3.1","47","2.9000000000000004","43","true","3","100","415","10","96.9"
"7","10","5","13","200","0.9400000000000001","52","4","0.11","0.09","8.100000000000001","12","0.7000000000000001","3","false","5","320","305","10","99"
"8","10","2","2","360","0.8200000000000001","93","12","0.41000000000000003","0","4.2","17","0.4","5","true","3","290","195","10","99"
"9","10","3","11","485","0.8300000000000001","21","2","0.43","0.1","9.4","15","2","41","false","1","310","350","10","99"
"9","160","80","0","0","0.36","1","19","0.59","0.01","2.9000000000000004","30","5.4","42","true","3","0","230","10","89.1"
"9","310","36","6","445","0.68","1","19","0.86","0.15","5.7","37","5.300000000000001","36","false","4","200","250","10","74.9"
"10","10","47","19","125","0.15","90","6","0.8200000000000001","0","3.7","41","3.2","27","true","2","250","45","10","99"
