"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far"
"1","500","56","2","125","0.8200000000000001","2","17","0.31","0.15","8.100000000000001","32","3.6","9","false","4","250","100","10","95.1"
"2","500","65","19","410","0.23","33","19","0.96","0.11","4.300000000000001","23","3.3000000000000003","40","true","2","120","295","10","99"
"3","500","1","11","465","0.5700000000000001","70","10","0.87","0.14","4.2","11","1.1","9","true","3","140","385","10","99"
"4","500","77","20","335","0.72","35","8","0.17","0.15","8.100000000000001","53","2.1","8","false","4","340","180","10","99"
"5","500","51","14","25","0.67","57","13","0.12","0.17","9.700000000000001","40","2.4000000000000004","4","true","2","290","145","10","99"
"6","500","92","15","355","0.19","1","14","0.74","0.08","3.1","47","2.9000000000000004","43","true","3","100","415","10","96.9"
"7","500","5","13","200","0.9400000000000001","52","4","0.11","0.09","8.100000000000001","12","0.7000000000000001","3","false","5","320","305","10","99"
"8","500","2","2","360","0.8200000000000001","93","12","0.41000000000000003","0","4.2","17","0.4","5","true","3","290","195","10","99"
"9","500","36","6","445","0.68","1","19","0.86","0.15","5.7","37","5.300000000000001","36","false","4","200","250","10","74.9"
"10","500","47","19","125","0.15","90","6","0.8200000000000001","0","3.7","41","3.2","27","true","2","250","45","10","99"
