"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"1","10","13","0","335","0.34","26","2","0.9400000000000001","0.08","8","28","6.1000000000000005","26","true","1","350","370","99","10","99"
"1","20","8","19","325","0.19","54","17","0.15","0.13","4.4","38","0.5","23","true","3","90","100","99","10","99"
"1","30","21","12","485","0.79","21","3","0.79","0.19","8.2","26","2.6","1","true","5","70","490","99","10","99"
"1","40","90","11","185","0.22","5","2","0.36","0.1","2.2","20","1.9000000000000001","29","true","1","250","45","99","10","99"
"1","50","70","20","315","0.84","67","8","0.86","0.18","4.2","59","3.6","26","true","3","340","465","99","10","99"
"1","60","56","13","70","0.18","80","13","0.24","0.02","2.8","37","3.9000000000000004","8","false","3","140","215","99","10","99"
"1","70","72","8","450","0.79","70","1","0.86","0.16","8.8","48","5.4","36","false","1","100","270","99","10","99"
"1","80","57","18","265","0.73","23","13","0.87","0.07","3.1","3","0.30000000000000004","3","false","1","120","375","99","10","99"
"1","90","47","6","380","0.18","58","18","0.56","0.02","6.7","2","4.2","32","true","3","70","275","99","10","99"
"1","100","33","16","270","0.73","37","0","0.97","0.17","6.2","34","3.5","6","true","3","50","140","99","10","99"
"1","110","66","15","260","0.01","4","9","0.8200000000000001","0.05","5.7","28","1.5","12","true","3","300","245","99","10","99"
"1","120","35","2","445","0.76","19","15","0.24","0.03","9.4","0","0","43","false","3","70","415","99","10","99"
"1","130","40","2","115","0.11","30","6","0.63","0.12","3.8000000000000003","36","1.6","5","false","4","110","475","99","10","99"
"1","140","56","13","315","0.44","64","20","0.79","0","7.6000000000000005","3","6.300000000000001","19","true","3","60","385","99","10","99"
"1","150","65","17","300","0.52","83","4","0.37","0.03","3.2","8","1.9000000000000001","24","false","2","280","305","99","10","99"
"1","160","51","12","385","0.35000000000000003","62","19","0.76","0.07","7.4","21","1.8","5","true","5","210","170","99","10","99"
"1","170","39","3","135","0.48","90","5","0.68","0.18","5.2","33","1.7000000000000002","38","true","1","0","500","99","10","99"
"1","180","85","15","300","0.46","20","11","0.73","0.02","9.9","6","5.5","41","true","5","330","450","99","10","99"
"1","190","83","4","205","0.97","90","0","0.54","0.1","6.1000000000000005","6","4.6000000000000005","45","false","4","370","390","99","10","99"
"1","200","6","1","495","0.44","4","12","0.21","0.05","5","11","5.9","18","false","2","240","25","99","10","99"
"1","210","80","7","210","1","91","15","0.81","0.11","7","13","2.2","14","true","2","200","500","99","10","99"
"1","220","10","7","310","0.8200000000000001","30","7","0.8","0.02","9.9","17","4.6000000000000005","5","false","3","370","25","99","10","99"
"1","230","62","0","375","0.61","51","9","0.92","0.07","1.3","27","4.4","18","false","3","370","330","99","10","99"
"1","240","92","2","45","0.3","44","11","0.18","0.08","3.9000000000000004","9","4.800000000000001","36","true","3","310","350","99","10","99"
"1","250","25","13","95","0.61","75","17","0.8200000000000001","0.1","8.4","60","3.4000000000000004","38","true","3","210","175","99","10","99"
"1","260","11","17","280","0.87","25","13","0.52","0.06","4.4","4","0.5","33","false","3","30","330","99","10","99"
"1","270","73","10","260","0.01","85","10","0.6","0.09","2.7","2","5.6000000000000005","12","false","3","180","215","99","10","99"
"1","280","70","2","380","0.32","33","15","0.23","0.03","7.7","10","4.6000000000000005","2","false","3","110","355","99","10","99"
"1","290","15","18","20","0.9400000000000001","39","17","0.72","0.08","5.7","24","3.2","42","true","3","310","95","99","10","99"
"1","300","10","0","305","0.22","19","16","0.18","0.1","3.3000000000000003","20","5.1000000000000005","44","true","3","170","350","99","10","99"
"1","310","1","17","25","0.45","36","1","0.03","0.1","9.700000000000001","41","2.1","23","true","3","260","435","99","10","99"
"1","320","41","10","350","0.27","98","16","0.6","0.05","2.1","8","0.4","18","true","2","70","490","99","10","99"
"1","330","37","1","140","0.9","83","1","0.8200000000000001","0.15","1.2","56","4.9","32","true","1","20","320","99","10","99"
"1","340","56","2","125","0.8200000000000001","2","17","0.31","0.15","8.100000000000001","32","3.6","9","false","4","250","100","95.1","10","95.1"
"1","350","22","14","145","0","19","13","0.17","0","3.5","26","2.3000000000000003","35","true","3","90","85","99","10","95.1"
"1","360","62","10","95","0.53","77","11","0.9400000000000001","0.17","2.2","46","1.3","13","false","5","300","455","99","10","95.1"
"1","370","90","8","145","0.35000000000000003","47","0","0.67","0.11","5.3","27","1.1","40","false","1","340","300","99","10","95.1"
"1","380","67","18","325","0.22","30","16","0.65","0.08","4.4","51","0.9","36","false","3","320","270","99","10","95.1"
"1","390","29","12","300","0.37","48","8","0.52","0.17","3.7","1","5.2","3","false","3","350","175","99","10","95.1"
"1","400","35","2","35","0.28","8","19","0.61","0.19","8.8","13","4.5","45","false","3","240","430","99","10","95.1"
"1","410","89","7","280","0.03","37","10","0.01","0.04","5.7","51","6.4","29","false","1","60","245","99","10","95.1"
"1","420","72","11","245","0.86","17","20","0.96","0","9","42","2.7","30","true","5","120","250","99","10","95.1"
"1","430","58","12","35","0.97","4","19","0.35000000000000003","0.08","1.2","42","0.9","41","false","1","180","295","99","10","95.1"
"1","440","85","6","70","0.71","69","13","0.58","0.07","2.3","18","1.6","0","false","5","170","185","99","10","95.1"
"1","450","47","10","400","0.07","66","2","0.35000000000000003","0.02","5.7","49","1.8","42","false","1","210","435","99","10","95.1"
"1","460","99","16","475","0.13","97","19","0.68","0.09","3.9000000000000004","37","2.1","15","true","4","220","80","99","10","95.1"
"1","470","1","6","210","0.52","12","19","0.77","0.13","1.2","54","0.7000000000000001","30","true","3","310","90","99","10","95.1"
"1","480","3","8","405","0.9400000000000001","69","14","0.5","0.17","9.6","23","3.9000000000000004","3","true","2","160","205","99","10","95.1"
"1","490","78","2","65","0.48","80","17","0.59","0.11","7.1000000000000005","0","0.30000000000000004","9","true","1","370","100","99","10","95.1"
"1","500","40","11","320","0","8","15","0.8200000000000001","0.07","1.4","51","2.4000000000000004","8","true","1","310","45","99","10","95.1"
"2","10","65","19","410","0.23","33","19","0.96","0.11","4.300000000000001","23","3.3000000000000003","40","true","2","120","295","99","10","99"
"2","20","19","19","400","0.72","22","6","0.15","0.09","6.7","36","0.4","29","false","4","340","230","99","10","99"
"2","30","20","4","110","0.02","26","5","0.75","0.08","3.9000000000000004","7","2.2","15","false","2","100","75","99","10","99"
"2","40","40","7","295","0.18","59","15","0.23","0.13","9.6","56","4.2","18","true","4","400","250","99","10","99"
"2","50","52","7","470","0.6","40","18","0.37","0.13","1.8","1","3.3000000000000003","28","false","5","110","145","99","10","99"
"2","60","44","11","500","0.5","45","11","0.26","0.09","3.1","19","3.8000000000000003","20","true","2","260","420","99","10","99"
"2","70","19","10","430","0.64","69","17","0.27","0","4","41","3.1","2","true","2","230","80","99","10","99"
"2","80","96","6","295","0.15","82","6","0.49","0.01","4","34","1.2000000000000002","33","false","3","80","210","99","10","99"
"2","90","90","0","75","0.5700000000000001","5","8","0.19","0.05","5","37","6.300000000000001","41","false","1","370","255","99","10","99"
"2","100","22","6","470","0.64","48","6","0.11","0.15","1.7000000000000002","38","0.1","33","true","4","290","355","99","10","99"
"2","110","55","8","395","0.04","54","8","0","0.04","7.1000000000000005","13","5","37","false","3","340","405","99","10","99"
"2","120","30","9","85","0.5700000000000001","62","0","0.79","0.17","9.700000000000001","42","3.8000000000000003","32","false","2","160","390","99","10","99"
"2","130","23","2","240","0.5700000000000001","51","14","0.74","0.18","2.5","46","3.6","0","true","3","230","85","99","10","99"
"2","140","88","4","110","0.34","57","6","0.15","0.02","3.9000000000000004","11","0","7","false","5","70","220","99","10","99"
"2","150","51","12","115","0.55","26","0","0.66","0.17","4.5","28","1.4000000000000001","9","false","5","200","250","99","10","99"
"2","160","49","6","35","0.26","76","15","0.71","0.04","6.4","0","5","23","true","5","160","435","99","10","99"
"2","170","22","16","355","0.9400000000000001","41","11","0.84","0.07","2.2","10","1.6","5","false","3","100","20","99","10","99"
"2","180","8","18","300","0.56","78","17","0.49","0.1","6","49","0.9","35","false","4","210","340","99","10","99"
"2","190","98","4","200","0.41000000000000003","58","19","0.26","0.04","2.5","41","5.300000000000001","15","false","3","250","50","99","10","99"
"2","200","30","17","115","0.11","3","19","0.18","0.18","3.2","7","1.6","11","false","2","270","485","99","10","99"
"2","210","80","10","330","0.04","40","13","0.76","0.06","4","48","4.6000000000000005","44","false","4","280","300","99","10","99"
"2","220","36","18","95","0.68","87","0","0.49","0.02","3.5","29","0.1","0","false","2","50","345","99","10","99"
"2","230","64","4","5","0.8300000000000001","87","11","0.07","0.1","2.7","41","2.1","28","false","3","40","190","99","10","99"
"2","240","58","18","35","0.91","51","11","0.86","0.1","6.7","37","1.6","4","false","3","220","60","99","10","99"
"2","250","40","12","55","0.45","10","9","0.62","0.14","7.4","42","2.9000000000000004","38","false","1","0","95","99","10","99"
"2","260","33","5","135","0.23","4","11","0.26","0.1","7.300000000000001","60","5.7","28","true","1","320","300","99","10","99"
"2","270","11","3","425","0.04","32","19","0.85","0.08","6.2","27","2","43","false","5","300","325","99","10","99"
"2","280","41","4","275","0.41000000000000003","30","2","0.9400000000000001","0.17","4.7","19","0.2","23","false","2","390","140","99","10","99"
"2","290","78","6","330","0.56","13","4","0","0.15","9.4","50","3","38","true","5","0","150","99","10","99"
"2","300","6","14","350","0.66","3","10","0.16","0.1","2.6","19","5.9","28","false","4","20","45","99","10","99"
"2","310","16","15","260","0.62","88","10","0.07","0.05","4.9","1","0.7000000000000001","0","false","3","250","310","99","10","99"
"2","320","67","10","410","0.9500000000000001","97","0","0.19","0.05","8.8","35","2.9000000000000004","0","false","4","310","400","99","10","99"
"2","330","22","4","75","0.75","36","0","0.45","0.05","6","30","1.2000000000000002","10","true","5","90","150","99","10","99"
"2","340","83","7","90","0.16","83","10","0.79","0.01","1.6","0","3.5","16","true","1","120","295","99","10","99"
"2","350","5","0","275","0.31","47","9","0.07","0.12","4.9","20","5.300000000000001","33","true","2","330","425","99","10","99"
"2","360","3","11","45","0.07","58","0","0.67","0.17","4.1","23","6","28","false","5","270","375","99","10","99"
