"BehaviorSpace results (NetLogo 5.2.1)"
"boxes_bots_FinalCode.nlogo"
"total-energy"
"07/26/2016 17:24:49:055 +0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-41","41","-22","22"
"[run number]","number-of-boxes","charging-area-radius","target-area-radius","transfer-energy-amount","number-of-bots","show-energy?","maximum-charging-distance","unloaded-step-length","max-wiggle-angle","energy-decrement","loaded-step-length","vision-range","vision-angle","minimum-energy","minimum-charging-energy","grab-range","[step]","total-energy"
"4","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9911","677"
"2","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","12229","591"
"3","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11304","654"
"6","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6311","943"
"5","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11962","575"
"7","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10495","512"
"8","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7954","945"
"1","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7407","756"
"9","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8512","938"
"10","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9304","719"
"11","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7664","976"
"13","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6349","848"
"12","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7473","573"
"14","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6797","502"
"15","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11644","694"
"16","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8645","676"
"17","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7769","861"
"18","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9485","833"
"19","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9767","633"
"20","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10617","605"
"21","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9013","617"
"22","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8123","758"
"24","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7391","509"
"26","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8857","869"
"25","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8848","657"
"23","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11752","862"
"27","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7918","580"
"28","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7474","944"
"29","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6991","880"
"30","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8345","620"
"31","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7665","940"
"33","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6182","749"
"32","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","12742","625"
"34","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7846","546"
"35","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10058","718"
"37","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8141","756"
"38","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7814","513"
"36","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9080","852"
"39","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7459","626"
"40","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8894","800"
"41","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9434","997"
"42","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8592","923"
"43","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9137","695"
"44","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9030","843"
"45","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7608","873"
"47","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8150","843"
"46","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11512","734"
"48","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8093","691"
"50","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7793","981"
"49","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9233","743"
"51","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7514","638"
"52","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8171","572"
"53","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7408","945"
"54","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9204","567"
"55","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7010","956"
"57","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8071","908"
"56","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11497","905"
"59","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","5803","683"
"58","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9963","561"
"61","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7281","688"
"60","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9810","743"
"63","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6199","679"
"62","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7985","792"
"64","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7740","694"
"65","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8477","653"
"66","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7435","540"
"67","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8304","991"
"68","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6056","726"
"69","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7424","979"
"70","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8605","697"
"73","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6975","899"
"71","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9331","545"
"72","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10685","506"
"77","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6058","764"
"74","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11022","590"
"75","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8835","704"
"76","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7372","965"
"80","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6718","777"
"79","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7426","671"
"78","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10918","593"
"82","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6877","526"
"81","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10879","500"
"84","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6232","586"
"83","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8975","623"
"87","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7562","731"
"88","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6286","966"
"85","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11415","580"
"86","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9284","568"
"89","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8084","591"
"90","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7853","940"
"91","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7674","579"
"92","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9801","758"
"93","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7427","981"
"95","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8790","633"
"94","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9260","808"
"97","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6948","825"
"98","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7268","949"
"96","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10201","571"
"99","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6467","604"
"100","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9729","947"
