"BehaviorSpace results (NetLogo 5.2.1)"
"boxes_bots_FinalCode.nlogo"
"total-time"
"07/26/2016 17:26:08:652 +0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-41","41","-22","22"
"[run number]","number-of-boxes","charging-area-radius","target-area-radius","transfer-energy-amount","number-of-bots","show-energy?","maximum-charging-distance","unloaded-step-length","max-wiggle-angle","energy-decrement","loaded-step-length","vision-range","vision-angle","minimum-energy","minimum-charging-energy","grab-range","[step]","total-time"
"3","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7292","7292"
"4","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7541","7541"
"2","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8703","8703"
"1","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7702","7702"
"7","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6812","6812"
"6","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7949","7949"
"8","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7548","7548"
"5","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8727","8727"
"10","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6211","6211"
"9","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7662","7662"
"11","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6929","6929"
"12","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8034","8034"
"13","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6809","6809"
"14","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8325","8325"
"16","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8837","8837"
"15","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11086","11086"
"18","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6594","6594"
"17","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8850","8850"
"19","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7431","7431"
"21","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6949","6949"
"22","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7646","7646"
"20","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9738","9738"
"25","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6640","6640"
"23","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9012","9012"
"24","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9576","9576"
"26","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8915","8915"
"28","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7727","7727"
